"Player","Team","Position","G","Pass_Cmp","Pass_Att","Pass_Yds","Pass_TD","Pass_Int","Rush_Att","Rush_Yds","Rush_TD","Rec","Rec_Tgt","Rec_Yds","Rec_TD","Def_Solo","Def_Ast","Def_Comb","Def_TFL","Def_QBHits","Sk","Int","PD","FF","Year","Is_Rookie"
"A'Shawn Robinson","CAR","DE",17,0,0,0,0,0,0,0,0,0,0,0,0,21,44,65,3,8,2.5,0,3,0,2025,0
"A.J. Brown","PHI","WR",15,0,0,0,0,0,0,0,0,78,121,1003,7,0,0,0,0,0,0,0,0,0,2025,0
"A.J. Epenesa","BUF","DE",15,0,0,0,0,0,0,0,0,0,0,0,0,17,15,32,2,9,2.5,2,4,0,2025,0
"A.J. Terrell","ATL","CB",15,0,0,0,0,0,0,0,0,0,0,0,0,49,19,68,1,0,0,0,12,2,2025,0
"AJ Barner","SEA","TE",17,0,0,0,0,0,10,14,1,52,68,519,6,1,1,2,0,0,0,0,0,0,2025,0
"Aaron Jones","MIN","RB",12,0,0,0,0,0,132,548,2,28,41,199,1,1,1,2,0,0,0,0,0,0,2025,0
"Aaron Rodgers","PIT","QB",16,327,498,3322,24,7,21,61,1,1,1,-9,0,0,0,0,0,0,0,0,0,0,2025,0
"Abdul Carter","NYG","LB",15,0,0,0,0,0,0,0,0,0,0,0,0,23,18,41,7,23,4,0,0,2,2025,1
"Adam Butler","LV","DT",15,0,0,0,0,0,0,0,0,0,0,0,0,19,30,49,3,5,1,0,0,0,2025,0
"Adam Trautman","DEN","TE",13,0,0,0,0,0,0,0,0,20,23,195,1,0,1,1,0,0,0,0,0,0,2025,0
"Adetomiwa Adebawore","IND","DT",14,0,0,0,0,0,0,0,0,0,0,0,0,13,22,35,5,6,4,0,0,0,2025,0
"Adonai Mitchell","NYJ","WR",8,0,0,0,0,0,1,-4,0,24,58,301,2,2,0,2,0,0,0,0,0,0,2025,0
"Adoree' Jackson","PHI","CB",13,0,0,0,0,0,0,0,0,0,0,0,0,40,15,55,0,0,0,1,11,0,2025,0
"Aidan Hutchinson","DET","DE",17,0,0,0,0,0,0,0,0,0,0,0,0,35,18,53,14,35,14.5,1,3,4,2025,0
"Akeem Davis-Gaither","ARI","LB",16,0,0,0,0,0,0,0,0,0,0,0,0,50,67,117,2,1,0,1,5,1,2025,0
"Al-Quadin Muhammad","DET","DE",13,0,0,0,0,0,0,0,0,0,0,0,0,15,10,25,9,20,11,0,0,0,2025,0
"Alec Pierce","IND","WR",15,0,0,0,0,0,0,0,0,47,84,1003,6,3,0,3,0,0,0,0,1,0,2025,0
"Alex Anzalone","DET","MLB",16,0,0,0,0,0,0,0,0,0,0,0,0,52,43,95,4,6,2.5,1,9,0,2025,0
"Alex Highsmith","PIT","LB",13,0,0,0,0,0,0,0,0,0,0,0,0,36,14,50,15,19,9.5,0,3,1,2025,0
"Alex Singleton","DEN","LB",16,0,0,0,0,0,0,0,0,0,0,0,0,52,81,133,3,3,1,0,4,1,2025,0
"Alex Wright","CLE","DE",13,0,0,0,0,0,0,0,0,0,0,0,0,18,16,34,12,9,5.5,0,1,1,2025,0
"Alohi Gilman","BAL","SAF",12,0,0,0,0,0,0,0,0,0,0,0,0,38,29,67,1,1,0,0,6,1,2025,0
"Alontae Taylor","NO","CB",17,0,0,0,0,0,0,0,0,0,0,0,0,58,24,82,7,3,2,2,11,0,2025,0
"Alvin Kamara","NO","RB",11,0,0,0,0,0,131,471,1,33,39,186,0,1,0,1,0,0,0,0,0,0,2025,0
"Amani Hooker","TEN","SAF",16,0,0,0,0,0,0,0,0,0,0,0,0,58,23,81,3,1,1,0,8,0,2025,0
"Amik Robertson","DET","CB",17,0,0,0,0,0,0,0,0,0,0,0,0,42,9,51,2,0,0,1,12,2,2025,0
"Amon-Ra St. Brown","DET","WR",17,0,0,0,0,0,3,9,0,117,172,1401,11,4,1,5,0,0,0,0,0,0,2025,0
"Andre Cisco","NYJ","SAF",8,0,0,0,0,0,0,0,0,0,0,0,0,25,15,40,1,0,0,0,1,0,2025,0
"Andrei Iosivas","CIN","WR",15,0,0,0,0,0,3,14,0,33,58,435,2,0,0,0,0,0,0,0,0,0,2025,0
"Andrew Billings","CHI","DT",15,0,0,0,0,0,0,0,0,0,0,0,0,16,12,28,6,5,1,0,0,0,2025,0
